snp_transition_transversion	total_het_hom	snp_het_hom	mnp_het_hom	Insert_het_hom	del_het_hom	Indel_het_hom	insert_del	indel_snp_plus_mnp	sample
16969|7054	10718|7898	9729|7144	254|104	323|322	389|302	23|26	645|691	1385|17231	ERR696683
22790|9589	14288|10835	12891|9739	371|148	480|469	497|447	49|32	949|944	1974|23149	ERR753368
22316|9338	14172|10542	12726|9458	368|167	472|462	560|422	46|33	934|982	1995|22719	ERR753369
27387|11651	17992|12977	16009|11510	484|176	614|615	807|626	78|50	1229|1433	2790|28179	ERR753370
12222|4926	7327|5748	6639|5253	208|79	198|205	266|196	16|15	403|462	896|12179	ERR753371
22773|9639	14808|10579	13331|9536	391|141	475|439	559|427	52|36	914|986	1988|23399	ERR753372
25705|12262	12251|14997	10881|13538	369|210	438|598	522|603	41|48	1036|1125	2250|24998	ERR753373
14105|6359	7057|7935	6290|7083	198|116	260|338	292|368	17|30	598|660	1305|13687	ERR753374
14455|5814	9045|6579	8214|6024	231|66	267|227	309|240	24|22	494|549	1089|14535	ERR753375
15428|6239	9112|7376	8256|6705	224|94	265|261	342|287	25|29	526|629	1209|15279	ERR753376
15435|6302	9659|7125	8761|6485	221|87	286|259	369|266	22|28	545|635	1230|15554	ERR753377
21762|9081	13585|10286	12330|9251	302|145	414|459	503|397	36|34	873|900	1843|22028	ERR753378
