pass_fail_filter	snps	mnps	insertions	deletions	indels	same_reference	sample
18632|0	  16873	  358	  645	  691	  49	  16	  ERR696683
25148|0	  22630	  519	  949	  944	  81	  25	  ERR753368
24737|0	  22184	  535	  934	  982	  79	  23	  ERR753369
31044|0	  27521	  660	  1229	  1433	  128	  73	  ERR753370
13087|0	  11895	  287	  403	  462	  31	  9	  ERR753371
25398|0	  22866	  532	  914	  986	  88	  12	  ERR753372
27287|0	  24419	  579	  1036	  1125	  89	  39	  ERR753373
15012|0	  13373	  314	  598	  660	  47	  20	  ERR753374
15633|0	  14237	  297	  494	  549	  46	  10	  ERR753375
16502|0	  14962	  318	  526	  629	  54	  13	  ERR753376
16812|0	  15247	  308	  545	  635	  50	  27	  ERR753377
23884|0	  21581	  447	  873	  900	  70	  13	  ERR753378
