study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB7926	SAMEA3168442	ERX641122	ERR696683	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR696/ERR696683/ERR696683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR696/ERR696683/ERR696683_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR696/ERR696683/C2466_GCCAAT.bwa.sorted.rmdup.recal.realigned.fixed.bam	
PRJEB7926	SAMEA3168443	ERX697048	ERR753368	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753368/ERR753368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753368/ERR753368_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753368/C2467_CGATGT.bwa.sorted.rmdup.recal.realigned.fixed.bam	
PRJEB7926	SAMEA3168444	ERX697049	ERR753369	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753369/ERR753369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753369/ERR753369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753369/C2468_TTAGGC.bwa.sorted.rmdup.recal.realigned.fixed.bam	
PRJEB7926	SAMEA3168445	ERX697050	ERR753370	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753370/ERR753370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753370/ERR753370_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753370/C3481_GCCAAT.bwa.sorted.rmdup.recal.realigned.fixed.bam	
PRJEB7926	SAMEA3168446	ERX697051	ERR753371	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753371/ERR753371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753371/ERR753371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753371/C3852_CTTGTA.bwa.sorted.rmdup.recal.realigned.fixed.bam	
PRJEB7926	SAMEA3168447	ERX697052	ERR753372	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753372/ERR753372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753372/ERR753372_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753372/C3890_TGACCA.bwa.sorted.rmdup.recal.realigned.fixed.bam	
PRJEB7926	SAMEA3168448	ERX697053	ERR753373	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753373/ERR753373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753373/ERR753373_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753373/NG-5502_C2463.bwa.sorted.rmdup.recal.realigned.sorted.fixed.bam	
PRJEB7926	SAMEA3168449	ERX697054	ERR753374	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753374/ERR753374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753374/ERR753374_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753374/NG-5502_C2461.bwa.sorted.rmdup.recal.realigned.sorted.fixed.bam	
PRJEB7926	SAMEA3168450	ERX697055	ERR753375	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753375/ERR753375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753375/ERR753375_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753375/C-3861_GCCAAT_L007.bwa.sorted.rmdup.recal.realigned.fixed.bam	
PRJEB7926	SAMEA3168451	ERX697056	ERR753376	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753376/ERR753376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753376/ERR753376_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753376/C2213_CGATGT.bwa.sorted.rmdup.recal.realigned.fixed.bam	
PRJEB7926	SAMEA3168452	ERX697057	ERR753377	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753377/ERR753377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753377/ERR753377_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753377/C896_TGACCA.bwa.sorted.rmdup.recal.realigned.fixed.bam	
PRJEB7926	SAMEA3168453	ERX697058	ERR753378	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753378/ERR753378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753378/ERR753378_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753378/C3988_ACAGTG.bwa.sorted.rmdup.recal.realigned.fixed.bam	
