sift	n	sample
tolerated	298	ERR696683_chr5
toleratedlowconfidence	101	ERR696683_chr5
deleteriouslowconfidence	57	ERR696683_chr5
deleterious	43	ERR696683_chr5
tolerated	356	ERR753368_chr5
toleratedlowconfidence	148	ERR753368_chr5
deleterious	50	ERR753368_chr5
deleteriouslowconfidence	37	ERR753368_chr5
tolerated	330	ERR753369_chr5
toleratedlowconfidence	114	ERR753369_chr5
deleterious	70	ERR753369_chr5
deleteriouslowconfidence	34	ERR753369_chr5
tolerated	385	ERR753370_chr5
toleratedlowconfidence	141	ERR753370_chr5
deleterious	100	ERR753370_chr5
deleteriouslowconfidence	48	ERR753370_chr5
tolerated	139	ERR753371_chr5
toleratedlowconfidence	62	ERR753371_chr5
deleterious	21	ERR753371_chr5
deleteriouslowconfidence	10	ERR753371_chr5
tolerated	337	ERR753372_chr5
toleratedlowconfidence	128	ERR753372_chr5
deleterious	62	ERR753372_chr5
deleteriouslowconfidence	37	ERR753372_chr5
tolerated	133	ERR753373_chr5
toleratedlowconfidence	44	ERR753373_chr5
deleterious	15	ERR753373_chr5
deleteriouslowconfidence	5	ERR753373_chr5
tolerated	36	ERR753374_chr5
deleterious	6	ERR753374_chr5
toleratedlowconfidence	3	ERR753374_chr5
tolerated	159	ERR753375_chr5
toleratedlowconfidence	72	ERR753375_chr5
deleterious	22	ERR753375_chr5
deleteriouslowconfidence	12	ERR753375_chr5
tolerated	199	ERR753376_chr5
toleratedlowconfidence	63	ERR753376_chr5
deleterious	38	ERR753376_chr5
deleteriouslowconfidence	10	ERR753376_chr5
tolerated	202	ERR753377_chr5
toleratedlowconfidence	68	ERR753377_chr5
deleterious	42	ERR753377_chr5
deleteriouslowconfidence	13	ERR753377_chr5
tolerated	255	ERR753378_chr5
toleratedlowconfidence	99	ERR753378_chr5
deleterious	69	ERR753378_chr5
deleteriouslowconfidence	37	ERR753378_chr5
