location	n	sample
172856	3	ERR696683_chr5
224303	10	ERR696683_chr5
224518	10	ERR696683_chr5
230865	11	ERR696683_chr5
230996	11	ERR696683_chr5
233402	12	ERR696683_chr5
233457	12	ERR696683_chr5
233619	12	ERR696683_chr5
256357	13	ERR696683_chr5
256394	12	ERR696683_chr5
289102	9	ERR696683_chr5
290083	9	ERR696683_chr5
711356	2	ERR696683_chr5
795846	3	ERR696683_chr5
795853	3	ERR696683_chr5
795860	3	ERR696683_chr5
1572203	6	ERR696683_chr5
5057841	16	ERR696683_chr5
5146110	4	ERR696683_chr5
5146222	4	ERR696683_chr5
5146282	4	ERR696683_chr5
5239808	3	ERR696683_chr5
5239889	3	ERR696683_chr5
5436496	4	ERR696683_chr5
5460456	1	ERR696683_chr5
5460506	1	ERR696683_chr5
5462035	1	ERR696683_chr5
6337128	2	ERR696683_chr5
6602431	10	ERR696683_chr5
6602555	10	ERR696683_chr5
6605158	10	ERR696683_chr5
6605419	8	ERR696683_chr5
6616898	5	ERR696683_chr5
6620346	5	ERR696683_chr5
6651857	4	ERR696683_chr5
6651896	4	ERR696683_chr5
6656097	4	ERR696683_chr5
6748405	6	ERR696683_chr5
6748546	6	ERR696683_chr5
7299249	4	ERR696683_chr5
7301462	3	ERR696683_chr5
7305056	3	ERR696683_chr5
7698169	2	ERR696683_chr5
7717283	2	ERR696683_chr5
7757602	1	ERR696683_chr5
7826567	4	ERR696683_chr5
7862813	11	ERR696683_chr5
7866854	23	ERR696683_chr5
7867917	23	ERR696683_chr5
7870860	23	ERR696683_chr5
7897206	16	ERR696683_chr5
10227436	7	ERR696683_chr5
10239166	7	ERR696683_chr5
10254705	22	ERR696683_chr5
10261430	14	ERR696683_chr5
10264850	12	ERR696683_chr5
10417477	8	ERR696683_chr5
10638068	3	ERR696683_chr5
10664466	1	ERR696683_chr5
10664520	1	ERR696683_chr5
11110839	8	ERR696683_chr5
13701416	3	ERR696683_chr5
13701427	3	ERR696683_chr5
13735783	2	ERR696683_chr5
13737335	2	ERR696683_chr5
13762863	3	ERR696683_chr5
13769148	3	ERR696683_chr5
13776378	2	ERR696683_chr5
13859634	4	ERR696683_chr5
13894785	4	ERR696683_chr5
14377959	6	ERR696683_chr5
14462781	9	ERR696683_chr5
14797515	4	ERR696683_chr5
14797551	4	ERR696683_chr5
16477642	19	ERR696683_chr5
16478091	20	ERR696683_chr5
16480953	20	ERR696683_chr5
16673866	5	ERR696683_chr5
16675994	5	ERR696683_chr5
16681857	5	ERR696683_chr5
16684000	5	ERR696683_chr5
16694200	5	ERR696683_chr5
16694240	5	ERR696683_chr5
16764225	3	ERR696683_chr5
16765984	3	ERR696683_chr5
16783329	4	ERR696683_chr5
16902206	6	ERR696683_chr5
16902239	6	ERR696683_chr5
16902403	7	ERR696683_chr5
16902592	7	ERR696683_chr5
19520823	7	ERR696683_chr5
19721381	8	ERR696683_chr5
20304377	6	ERR696683_chr5
21482674	11	ERR696683_chr5
21497162	9	ERR696683_chr5
21751941	6	ERR696683_chr5
21751947	6	ERR696683_chr5
21760493	6	ERR696683_chr5
21883992	6	ERR696683_chr5
22078475	6	ERR696683_chr5
23523239	3	ERR696683_chr5
23527810	3	ERR696683_chr5
31302181	3	ERR696683_chr5
31317387	3	ERR696683_chr5
31317422	3	ERR696683_chr5
31401340	6	ERR696683_chr5
31471980	9	ERR696683_chr5
31472010	9	ERR696683_chr5
31486433	6	ERR696683_chr5
31515266	5	ERR696683_chr5
31515550	5	ERR696683_chr5
31538585	9	ERR696683_chr5
31541035	8	ERR696683_chr5
31822761	4	ERR696683_chr5
31822925	4	ERR696683_chr5
31822970	4	ERR696683_chr5
32053816	3	ERR696683_chr5
32053986	3	ERR696683_chr5
32057545	6	ERR696683_chr5
32247971	4	ERR696683_chr5
32403241	2	ERR696683_chr5
32523237	2	ERR696683_chr5
32523642	3	ERR696683_chr5
32786283	7	ERR696683_chr5
32888187	2	ERR696683_chr5
33461250	8	ERR696683_chr5
33595891	3	ERR696683_chr5
