sift	n	sample
tolerated	8	ERR696683_chr17
deleterious	6	ERR696683_chr17
deleteriouslowconfidence	1	ERR696683_chr17
tolerated	8	ERR753369_chr17
deleterious	6	ERR753369_chr17
deleteriouslowconfidence	1	ERR753369_chr17
tolerated	8	ERR753370_chr17
deleterious	6	ERR753370_chr17
deleteriouslowconfidence	1	ERR753370_chr17
tolerated	8	ERR753371_chr17
deleterious	6	ERR753371_chr17
deleteriouslowconfidence	1	ERR753371_chr17
tolerated	8	ERR753372_chr17
deleterious	6	ERR753372_chr17
deleteriouslowconfidence	1	ERR753372_chr17
tolerated	8	ERR753375_chr17
deleterious	6	ERR753375_chr17
deleteriouslowconfidence	1	ERR753375_chr17
tolerated	8	ERR753376_chr17
deleterious	6	ERR753376_chr17
deleteriouslowconfidence	1	ERR753376_chr17
tolerated	8	ERR753377_chr17
deleterious	6	ERR753377_chr17
deleteriouslowconfidence	1	ERR753377_chr17
tolerated	8	ERR753378_chr17
deleterious	6	ERR753378_chr17
deleteriouslowconfidence	1	ERR753378_chr17
