consequence	n	sample
3_prime_UTR_variant	11	ERR696683_chr12
NMD_transcript_variant	4	ERR696683_chr12
downstream_gene_variant	1	ERR696683_chr12
intron_variant	12	ERR753368_chr12
3_prime_UTR_variant	11	ERR753368_chr12
NMD_transcript_variant	7	ERR753368_chr12
downstream_gene_variant	1	ERR753368_chr12
intron_variant	24	ERR753369_chr12
NMD_transcript_variant	10	ERR753369_chr12
synonymous_variant	6	ERR753369_chr12
3_prime_UTR_variant	5	ERR753369_chr12
non_coding_transcript_exon_variant	1	ERR753369_chr12
3_prime_UTR_variant	16	ERR753370_chr12
NMD_transcript_variant	11	ERR753370_chr12
intron_variant	11	ERR753370_chr12
synonymous_variant	6	ERR753370_chr12
downstream_gene_variant	1	ERR753370_chr12
non_coding_transcript_exon_variant	1	ERR753370_chr12
non_coding_transcript_variant	1	ERR753370_chr12
upstream_gene_variant	1	ERR753370_chr12
3_prime_UTR_variant	11	ERR753371_chr12
NMD_transcript_variant	4	ERR753371_chr12
downstream_gene_variant	1	ERR753371_chr12
intron_variant	24	ERR753372_chr12
3_prime_UTR_variant	11	ERR753372_chr12
NMD_transcript_variant	11	ERR753372_chr12
downstream_gene_variant	1	ERR753372_chr12
non_coding_transcript_variant	1	ERR753372_chr12
intron_variant	22	ERR753373_chr12
NMD_transcript_variant	6	ERR753373_chr12
downstream_gene_variant	2	ERR753373_chr12
upstream_gene_variant	1	ERR753373_chr12
intron_variant	11	ERR753375_chr12
NMD_transcript_variant	7	ERR753375_chr12
synonymous_variant	6	ERR753375_chr12
3_prime_UTR_variant	5	ERR753375_chr12
non_coding_transcript_exon_variant	1	ERR753375_chr12
non_coding_transcript_variant	1	ERR753375_chr12
upstream_gene_variant	1	ERR753375_chr12
3_prime_UTR_variant	11	ERR753376_chr12
NMD_transcript_variant	4	ERR753376_chr12
downstream_gene_variant	1	ERR753376_chr12
synonymous_variant	6	ERR753377_chr12
3_prime_UTR_variant	5	ERR753377_chr12
NMD_transcript_variant	4	ERR753377_chr12
non_coding_transcript_exon_variant	1	ERR753377_chr12
intron_variant	24	ERR753378_chr12
NMD_transcript_variant	10	ERR753378_chr12
synonymous_variant	6	ERR753378_chr12
3_prime_UTR_variant	5	ERR753378_chr12
non_coding_transcript_exon_variant	1	ERR753378_chr12
