clin_sig	n	sample
benign	2639	ERR696683_chr5
likely_benign	58	ERR696683_chr5
benign,likely_benign	28	ERR696683_chr5
risk_factor,uncertain_significance,benign	23	ERR696683_chr5
benign/likely_benign,benign	6	ERR696683_chr5
not_provided,benign	6	ERR696683_chr5
benign,benign/likely_benign	2	ERR696683_chr5
benign	3553	ERR753368_chr5
benign,likely_benign	57	ERR753368_chr5
not_provided,benign	55	ERR753368_chr5
likely_benign	31	ERR753368_chr5
benign,other	28	ERR753368_chr5
risk_factor,benign	11	ERR753368_chr5
risk_factor	8	ERR753368_chr5
other,benign	7	ERR753368_chr5
benign,not_provided	6	ERR753368_chr5
benign,benign/likely_benign	2	ERR753368_chr5
benign/likely_benign,benign	2	ERR753368_chr5
benign	3015	ERR753369_chr5
benign,likely_benign	73	ERR753369_chr5
benign,other	44	ERR753369_chr5
not_provided,benign	29	ERR753369_chr5
benign,benign/likely_benign	24	ERR753369_chr5
risk_factor,uncertain_significance,benign	23	ERR753369_chr5
uncertain_significance	16	ERR753369_chr5
uncertain_significance,benign	14	ERR753369_chr5
risk_factor,benign	11	ERR753369_chr5
risk_factor	8	ERR753369_chr5
other,benign	7	ERR753369_chr5
benign,not_provided	6	ERR753369_chr5
likely_benign	5	ERR753369_chr5
benign/likely_benign,benign	2	ERR753369_chr5
benign	4608	ERR753370_chr5
benign,likely_benign	105	ERR753370_chr5
not_provided,benign	51	ERR753370_chr5
benign,other	44	ERR753370_chr5
benign,benign/likely_benign	42	ERR753370_chr5
likely_benign	40	ERR753370_chr5
other	28	ERR753370_chr5
risk_factor,uncertain_significance,benign	23	ERR753370_chr5
benign,not_provided	8	ERR753370_chr5
risk_factor	8	ERR753370_chr5
other,benign	7	ERR753370_chr5
uncertain_significance	7	ERR753370_chr5
benign/likely_benign,benign	2	ERR753370_chr5
benign	1115	ERR753371_chr5
likely_benign	26	ERR753371_chr5
benign,likely_benign	6	ERR753371_chr5
benign/likely_benign,benign	6	ERR753371_chr5
benign,benign/likely_benign	2	ERR753371_chr5
benign	3448	ERR753372_chr5
benign,likely_benign	79	ERR753372_chr5
likely_benign	62	ERR753372_chr5
not_provided,benign	60	ERR753372_chr5
risk_factor,uncertain_significance,benign	23	ERR753372_chr5
benign,other	21	ERR753372_chr5
uncertain_significance,likely_benign,benign/likely_benign	17	ERR753372_chr5
risk_factor,benign	11	ERR753372_chr5
uncertain_significance	9	ERR753372_chr5
risk_factor	8	ERR753372_chr5
other,benign	7	ERR753372_chr5
benign,benign/likely_benign	2	ERR753372_chr5
benign/likely_benign,benign	2	ERR753372_chr5
benign	1230	ERR753373_chr5
benign,other	44	ERR753373_chr5
benign,likely_benign	36	ERR753373_chr5
likely_benign	31	ERR753373_chr5
other,benign	7	ERR753373_chr5
benign,benign/likely_benign	2	ERR753373_chr5
benign	332	ERR753374_chr5
benign,likely_benign	12	ERR753374_chr5
benign	1445	ERR753375_chr5
benign,likely_benign	38	ERR753375_chr5
likely_benign	23	ERR753375_chr5
not_provided,benign	21	ERR753375_chr5
benign,other	14	ERR753375_chr5
benign,not_provided	8	ERR753375_chr5
uncertain_significance	7	ERR753375_chr5
benign	1535	ERR753376_chr5
benign,other	44	ERR753376_chr5
benign,likely_benign	38	ERR753376_chr5
not_provided,benign	21	ERR753376_chr5
likely_benign	14	ERR753376_chr5
other,benign	7	ERR753376_chr5
likely_benign,uncertain_significance	5	ERR753376_chr5
benign	1965	ERR753377_chr5
benign,likely_benign	52	ERR753377_chr5
benign,other	44	ERR753377_chr5
not_provided,benign	37	ERR753377_chr5
benign,likely_benign,uncertain_significance	20	ERR753377_chr5
benign,likely_benign,benign/likely_benign	8	ERR753377_chr5
risk_factor	8	ERR753377_chr5
uncertain_significance,benign/likely_benign,conflicting_interpretations_of_pathogenicity	8	ERR753377_chr5
other,benign	7	ERR753377_chr5
benign	2747	ERR753378_chr5
benign,other	44	ERR753378_chr5
benign,likely_benign	24	ERR753378_chr5
risk_factor,uncertain_significance,benign	23	ERR753378_chr5
not_provided,benign	17	ERR753378_chr5
benign,not_provided	15	ERR753378_chr5
likely_benign	15	ERR753378_chr5
uncertain_significance	9	ERR753378_chr5
risk_factor	8	ERR753378_chr5
other,benign	7	ERR753378_chr5
benign/likely_benign,benign	2	ERR753378_chr5
