variant_class	n	sample
SNV	8002	ERR696683_chr5
indel	355	ERR696683_chr5
substitution	39	ERR696683_chr5
SNV	10461	ERR753368_chr5
indel	392	ERR753368_chr5
substitution	119	ERR753368_chr5
SNV	9679	ERR753369_chr5
indel	664	ERR753369_chr5
substitution	106	ERR753369_chr5
SNV	13427	ERR753370_chr5
indel	1128	ERR753370_chr5
substitution	107	ERR753370_chr5
SNV	3169	ERR753371_chr5
indel	63	ERR753371_chr5
substitution	17	ERR753371_chr5
SNV	10796	ERR753372_chr5
indel	519	ERR753372_chr5
substitution	143	ERR753372_chr5
SNV	3337	ERR753373_chr5
indel	183	ERR753373_chr5
SNV	796	ERR753374_chr5
indel	30	ERR753374_chr5
SNV	4565	ERR753375_chr5
indel	109	ERR753375_chr5
substitution	24	ERR753375_chr5
SNV	5003	ERR753376_chr5
indel	220	ERR753376_chr5
substitution	42	ERR753376_chr5
SNV	5966	ERR753377_chr5
indel	241	ERR753377_chr5
substitution	36	ERR753377_chr5
SNV	8455	ERR753378_chr5
indel	410	ERR753378_chr5
substitution	69	ERR753378_chr5
