polyphen	n	sample
benign	403	ERR696683_chr5
possiblydamaging	23	ERR696683_chr5
probablydamaging	15	ERR696683_chr5
unknown	13	ERR696683_chr5
benign	457	ERR753368_chr5
possiblydamaging	28	ERR753368_chr5
probablydamaging	19	ERR753368_chr5
unknown	35	ERR753368_chr5
benign	444	ERR753369_chr5
possiblydamaging	22	ERR753369_chr5
probablydamaging	29	ERR753369_chr5
unknown	29	ERR753369_chr5
benign	515	ERR753370_chr5
possiblydamaging	42	ERR753370_chr5
probablydamaging	37	ERR753370_chr5
unknown	33	ERR753370_chr5
benign	172	ERR753371_chr5
possiblydamaging	14	ERR753371_chr5
probablydamaging	5	ERR753371_chr5
unknown	8	ERR753371_chr5
benign	436	ERR753372_chr5
possiblydamaging	25	ERR753372_chr5
probablydamaging	30	ERR753372_chr5
unknown	31	ERR753372_chr5
benign	164	ERR753373_chr5
possiblydamaging	11	ERR753373_chr5
probablydamaging	10	ERR753373_chr5
unknown	7	ERR753373_chr5
benign	38	ERR753374_chr5
possiblydamaging	1	ERR753374_chr5
probablydamaging	3	ERR753374_chr5
unknown	5	ERR753374_chr5
benign	211	ERR753375_chr5
possiblydamaging	14	ERR753375_chr5
probablydamaging	12	ERR753375_chr5
unknown	13	ERR753375_chr5
benign	255	ERR753376_chr5
possiblydamaging	21	ERR753376_chr5
probablydamaging	12	ERR753376_chr5
unknown	9	ERR753376_chr5
benign	249	ERR753377_chr5
possiblydamaging	30	ERR753377_chr5
probablydamaging	14	ERR753377_chr5
unknown	12	ERR753377_chr5
benign	354	ERR753378_chr5
possiblydamaging	26	ERR753378_chr5
probablydamaging	35	ERR753378_chr5
unknown	25	ERR753378_chr5
