biotype	n	sample
protein_coding	7	ERR696683_chr12
nonsense_mediated_decay	4	ERR696683_chr12
retained_intron	1	ERR696683_chr12
protein_coding	16	ERR753368_chr12
nonsense_mediated_decay	7	ERR753368_chr12
retained_intron	1	ERR753368_chr12
protein_coding	25	ERR753369_chr12
nonsense_mediated_decay	10	ERR753369_chr12
retained_intron	1	ERR753369_chr12
protein_coding	21	ERR753370_chr12
nonsense_mediated_decay	12	ERR753370_chr12
retained_intron	3	ERR753370_chr12
protein_coding	7	ERR753371_chr12
nonsense_mediated_decay	4	ERR753371_chr12
retained_intron	1	ERR753371_chr12
protein_coding	23	ERR753372_chr12
nonsense_mediated_decay	11	ERR753372_chr12
retained_intron	2	ERR753372_chr12
protein_coding	18	ERR753373_chr12
nonsense_mediated_decay	6	ERR753373_chr12
retained_intron	1	ERR753373_chr12
protein_coding	14	ERR753375_chr12
nonsense_mediated_decay	8	ERR753375_chr12
retained_intron	2	ERR753375_chr12
protein_coding	7	ERR753376_chr12
nonsense_mediated_decay	4	ERR753376_chr12
retained_intron	1	ERR753376_chr12
protein_coding	7	ERR753377_chr12
nonsense_mediated_decay	4	ERR753377_chr12
retained_intron	1	ERR753377_chr12
protein_coding	25	ERR753378_chr12
nonsense_mediated_decay	10	ERR753378_chr12
retained_intron	1	ERR753378_chr12
