clinvar_clnsig	n	sample
Benign	1943	ERR696683_chr5
Benign/Likely_benign	21	ERR696683_chr5
Likely_benign	8	ERR696683_chr5
Benign	2608	ERR753368_chr5
Benign/Likely_benign	6	ERR753368_chr5
Likely_benign	18	ERR753368_chr5
risk_factor	8	ERR753368_chr5
Benign	2257	ERR753369_chr5
Benign/Likely_benign	49	ERR753369_chr5
Uncertain_significance	7	ERR753369_chr5
risk_factor	8	ERR753369_chr5
Benign	4102	ERR753370_chr5
Benign/Likely_benign	112	ERR753370_chr5
Likely_benign	40	ERR753370_chr5
Uncertain_significance	7	ERR753370_chr5
risk_factor	8	ERR753370_chr5
Benign	721	ERR753371_chr5
Likely_benign	23	ERR753371_chr5
Benign	2976	ERR753372_chr5
Benign/Likely_benign	32	ERR753372_chr5
Conflicting_interpretations_of_pathogenicity	17	ERR753372_chr5
Likely_benign	62	ERR753372_chr5
risk_factor	8	ERR753372_chr5
Benign	931	ERR753373_chr5
Benign/Likely_benign	11	ERR753373_chr5
Benign	187	ERR753374_chr5
Benign	998	ERR753375_chr5
Benign/Likely_benign	6	ERR753375_chr5
Benign	1285	ERR753376_chr5
Benign/Likely_benign	6	ERR753376_chr5
Likely_benign	14	ERR753376_chr5
Benign	1561	ERR753377_chr5
Benign/Likely_benign	16	ERR753377_chr5
Conflicting_interpretations_of_pathogenicity	8	ERR753377_chr5
Benign	2172	ERR753378_chr5
Benign/Likely_benign	8	ERR753378_chr5
Likely_benign	15	ERR753378_chr5
Uncertain_significance	9	ERR753378_chr5
risk_factor	8	ERR753378_chr5
