biotype	n	sample
protein_coding	4249	ERR696683_chr5
retained_intron	1318	ERR696683_chr5
nonsense_mediated_decay	966	ERR696683_chr5
protein_coding_CDS_not_defined	688	ERR696683_chr5
lncRNA	636	ERR696683_chr5
processed_pseudogene	167	ERR696683_chr5
enhancer	94	ERR696683_chr5
promoter	65	ERR696683_chr5
CTCF_binding_site	28	ERR696683_chr5
processed_transcript	28	ERR696683_chr5
transcribed_unprocessed_pseudogene	18	ERR696683_chr5
snRNA	16	ERR696683_chr5
open_chromatin_region	13	ERR696683_chr5
TF_binding_site	10	ERR696683_chr5
unprocessed_pseudogene	9	ERR696683_chr5
miRNA	7	ERR696683_chr5
transcribed_processed_pseudogene	6	ERR696683_chr5
snoRNA	5	ERR696683_chr5
transcribed_unitary_pseudogene	5	ERR696683_chr5
misc_RNA	4	ERR696683_chr5
TEC	3	ERR696683_chr5
unitary_pseudogene	2	ERR696683_chr5
rRNA_pseudogene	1	ERR696683_chr5
protein_coding	5694	ERR753368_chr5
retained_intron	1664	ERR753368_chr5
nonsense_mediated_decay	1397	ERR753368_chr5
protein_coding_CDS_not_defined	911	ERR753368_chr5
lncRNA	733	ERR753368_chr5
enhancer	131	ERR753368_chr5
promoter	125	ERR753368_chr5
processed_pseudogene	53	ERR753368_chr5
CTCF_binding_site	45	ERR753368_chr5
processed_transcript	30	ERR753368_chr5
miRNA	15	ERR753368_chr5
transcribed_unprocessed_pseudogene	15	ERR753368_chr5
open_chromatin_region	13	ERR753368_chr5
TF_binding_site	9	ERR753368_chr5
TEC	6	ERR753368_chr5
transcribed_unitary_pseudogene	6	ERR753368_chr5
unprocessed_pseudogene	6	ERR753368_chr5
misc_RNA	4	ERR753368_chr5
transcribed_processed_pseudogene	3	ERR753368_chr5
unitary_pseudogene	3	ERR753368_chr5
snoRNA	2	ERR753368_chr5
snRNA	1	ERR753368_chr5
protein_coding	5326	ERR753369_chr5
retained_intron	1648	ERR753369_chr5
nonsense_mediated_decay	1388	ERR753369_chr5
protein_coding_CDS_not_defined	847	ERR753369_chr5
lncRNA	668	ERR753369_chr5
enhancer	117	ERR753369_chr5
promoter	106	ERR753369_chr5
processed_pseudogene	71	ERR753369_chr5
CTCF_binding_site	40	ERR753369_chr5
processed_transcript	33	ERR753369_chr5
open_chromatin_region	20	ERR753369_chr5
miRNA	18	ERR753369_chr5
transcribed_unprocessed_pseudogene	13	ERR753369_chr5
unprocessed_pseudogene	9	ERR753369_chr5
misc_RNA	8	ERR753369_chr5
TF_binding_site	7	ERR753369_chr5
TEC	6	ERR753369_chr5
snRNA	5	ERR753369_chr5
transcribed_unitary_pseudogene	5	ERR753369_chr5
unitary_pseudogene	5	ERR753369_chr5
snoRNA	3	ERR753369_chr5
rRNA_pseudogene	1	ERR753369_chr5
transcribed_processed_pseudogene	1	ERR753369_chr5
protein_coding	7329	ERR753370_chr5
retained_intron	2257	ERR753370_chr5
nonsense_mediated_decay	1875	ERR753370_chr5
lncRNA	1145	ERR753370_chr5
protein_coding_CDS_not_defined	1137	ERR753370_chr5
processed_pseudogene	294	ERR753370_chr5
enhancer	175	ERR753370_chr5
promoter	105	ERR753370_chr5
CTCF_binding_site	46	ERR753370_chr5
processed_transcript	42	ERR753370_chr5
transcribed_unprocessed_pseudogene	34	ERR753370_chr5
unprocessed_pseudogene	29	ERR753370_chr5
open_chromatin_region	22	ERR753370_chr5
snRNA	21	ERR753370_chr5
miRNA	17	ERR753370_chr5
misc_RNA	17	ERR753370_chr5
TF_binding_site	9	ERR753370_chr5
snoRNA	9	ERR753370_chr5
TEC	6	ERR753370_chr5
transcribed_unitary_pseudogene	6	ERR753370_chr5
unitary_pseudogene	5	ERR753370_chr5
transcribed_processed_pseudogene	4	ERR753370_chr5
protein_coding	1616	ERR753371_chr5
retained_intron	511	ERR753371_chr5
nonsense_mediated_decay	401	ERR753371_chr5
lncRNA	256	ERR753371_chr5
protein_coding_CDS_not_defined	248	ERR753371_chr5
processed_pseudogene	55	ERR753371_chr5
enhancer	42	ERR753371_chr5
promoter	28	ERR753371_chr5
processed_transcript	14	ERR753371_chr5
CTCF_binding_site	10	ERR753371_chr5
transcribed_unprocessed_pseudogene	9	ERR753371_chr5
snRNA	6	ERR753371_chr5
open_chromatin_region	5	ERR753371_chr5
TF_binding_site	4	ERR753371_chr5
transcribed_processed_pseudogene	3	ERR753371_chr5
transcribed_unitary_pseudogene	3	ERR753371_chr5
TEC	2	ERR753371_chr5
miRNA	2	ERR753371_chr5
misc_RNA	2	ERR753371_chr5
unitary_pseudogene	1	ERR753371_chr5
protein_coding	5979	ERR753372_chr5
retained_intron	1715	ERR753372_chr5
nonsense_mediated_decay	1502	ERR753372_chr5
protein_coding_CDS_not_defined	935	ERR753372_chr5
lncRNA	687	ERR753372_chr5
enhancer	145	ERR753372_chr5
promoter	130	ERR753372_chr5
processed_pseudogene	64	ERR753372_chr5
CTCF_binding_site	44	ERR753372_chr5
processed_transcript	37	ERR753372_chr5
miRNA	14	ERR753372_chr5
open_chromatin_region	14	ERR753372_chr5
TF_binding_site	11	ERR753372_chr5
unprocessed_pseudogene	9	ERR753372_chr5
transcribed_unitary_pseudogene	8	ERR753372_chr5
transcribed_unprocessed_pseudogene	8	ERR753372_chr5
TEC	6	ERR753372_chr5
